Id,LotArea,Street,LotConfig,Neighborhood,BldgType,HouseStyle,YearBuilt,YearRemodAdd,RoofStyle,Electrical,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,GarageType,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Y_renew
1,8450,Pave,Inside,CollgCr,1Fam,2Story,2003,2003,Gable,SBrkr,1710,3,8,Attchd,2,2008,WD,Normal,208500,5
2,9600,Pave,FR2,Veenker,1Fam,1Story,1976,1976,Gable,SBrkr,1262,3,6,Attchd,5,2007,WD,Normal,181500,31
3,11250,Pave,Inside,CollgCr,1Fam,2Story,2001,2002,Gable,SBrkr,1786,3,6,Attchd,9,2008,WD,Normal,223500,6
4,9550,Pave,Corner,Crawfor,1Fam,2Story,1915,1970,Gable,SBrkr,1717,3,7,Detchd,2,2006,WD,Abnorml,140000,36
5,14260,Pave,FR2,NoRidge,1Fam,2Story,2000,2000,Gable,SBrkr,2198,4,9,Attchd,12,2008,WD,Normal,250000,8
6,14115,Pave,Inside,Mitchel,1Fam,1.5Fin,1993,1995,Gable,SBrkr,1362,1,5,Attchd,10,2009,WD,Normal,143000,14
7,10084,Pave,Inside,Somerst,1Fam,1Story,2004,2005,Gable,SBrkr,1694,3,7,Attchd,8,2007,WD,Normal,307000,2
8,10382,Pave,Corner,NWAmes,1Fam,2Story,1973,1973,Gable,SBrkr,2090,3,7,Attchd,11,2009,WD,Normal,200000,36
9,6120,Pave,Inside,OldTown,1Fam,1.5Fin,1931,1950,Gable,FuseF,1774,2,8,Detchd,4,2008,WD,Abnorml,129900,58
10,7420,Pave,Corner,BrkSide,2fmCon,1.5Unf,1939,1950,Gable,SBrkr,1077,2,5,Attchd,1,2008,WD,Normal,118000,58
11,11200,Pave,Inside,Sawyer,1Fam,1Story,1965,1965,Hip,SBrkr,1040,3,5,Detchd,2,2008,WD,Normal,129500,43
12,11924,Pave,Inside,NridgHt,1Fam,2Story,2005,2006,Hip,SBrkr,2324,4,11,BuiltIn,7,2006,New,Partial,345000,0
13,12968,Pave,Inside,Sawyer,1Fam,1Story,1962,1962,Hip,SBrkr,912,2,4,Detchd,9,2008,WD,Normal,144000,46
14,10652,Pave,Inside,CollgCr,1Fam,1Story,2006,2007,Gable,SBrkr,1494,3,7,Attchd,8,2007,New,Partial,279500,0
15,10920,Pave,Corner,NAmes,1Fam,1Story,1960,1960,Hip,SBrkr,1253,2,5,Attchd,5,2008,WD,Normal,157000,48
16,6120,Pave,Corner,BrkSide,1Fam,1.5Unf,1929,2001,Gable,FuseA,854,2,5,Detchd,7,2007,WD,Normal,132000,6
